year,national_disposable_income_per_capita,urban_disposable_income_per_capita,rural_disposable_income_per_capita,nominal_growth_rate,real_growth_rate,source_note
2020,32189,43834,17131,0.047,0.021,National Bureau of Statistics statistical communique
2021,35128,47412,18931,0.091,0.081,National Bureau of Statistics statistical communique
2022,36883,49283,20133,0.050,0.029,National Bureau of Statistics statistical communique
2023,39218,51821,21691,0.063,0.061,National Bureau of Statistics statistical communique
2024,41314,54188,23119,0.053,0.051,National Bureau of Statistics statistical communique
